Summary,Issue key,Issue id,Issue Type,Status,Project key,Priority,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Version / Delivery,Component1,Component2,Component3,Component4,Component5,Component6,Due Date,Description,Votes,SignedData
Misc. - Distribution/Broadcasting of content (email bursting/PDF),FPA34-622,3283113,User Story,In Progress,FPA34,Very High,I050338,,,11/8/2016 21:14,9/27/2022 21:43,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",Scheduling/Bursting,,,,,,"Scheduled Emails that export a Story to a given email list on a weekly basis.

For example: If I have a chart that outlines Sales Revenue for all 10 of my sales managers with a weekly ""update"" updating sales revenue numbers each Thursday. I would like to have an automated email export to each of my sales managers on Friday to review their performance. This would be a great way for organizations to keep the non BOC users updated.

https://ideas.sap.com/D38501

In providing customer information, PLEASE include why exactly they want schedule report distribution. For instance, current reasons we hear they need export to PDF includes the following:
- FPA34-2161 - I can?€?t access SAC on Android (Chrome mobile browser support tentatively planned for 2018)
- I have users who don?€?t have access to SAC who need reports (Concurrent user licenses now available (December 4th))
- I need a frozen view of the data (Use time filters)
- I don?€?t have an offline mode
- FPA34-2209 - I would like to be able to distribute to tens of thousands of individuals who do not have accounts in my system.
- FPA34-991 - I need to be alerted to changes in my data.
We need to understand if customers really need the type of report distribution found in BOBJ (print layouts, email scheduling, etc.), or if we should be investing first in live notifications, alerts, and online consumption through mobile devices. We may be at an inflection point, and your customer stories and requirements are invaluable.
- FPA34-5636 - I want to distribute SAC reports to my customers.
My customers do not have users on my tenant. For each of my customers I need to use customer-specific settings for HANA input parameters. I also have time-dependent (dynamic) HANA input parameters that need to be set according to distribution time. I have hundreds of customers, so manual scheduling is not feasable. I need a scheduling API to maintain the schedules.

Note: A partner, APOS, is looking at providing scheduled distribution of reports in H1 2018. And internal team is also investigating offering this feature.

*Blocked Customers*
- None at this time - Please include go-live and ACV.

*Additional Customer Notes*
- Nestle - Using the grid view as a workaround but not satisfied with formatting and visualization limitation of a grid view. They want the save as pdf to save the whole (even multi-page) document in PDF format.
- CITIC Pacific Mining in Australia - CFO would like us to automatically distribute vehicle utilisation usage reports to each of our business areas. Typically the report will be scheduled each week / month and sent to a defined distribution group. _Why does it need to be via email? Why can't they use the app?_
- Megawork - We demonstrate the use of the Mobile application, and present the risks inherent in sending the reports by email. One of the causes of the PDF request is actually to send reports to users without accounts. Another problem is due to the infrastructure of Telecommunications Services in Brazil, which makes access to data unfeasible in cities far from Capitals, where telecommunication services are bad. I'm waiting for more information on how to release this feature. Do you have some link about the concurrent user licenses?

",37,1
Change live model behind story while preserving all the content and features,FPA34-432,3148488,Epic,Open,FPA34,High,I051547,,,9/16/2016 13:30,9/27/2022 14:19,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",DWC & Dataplane Integration,,,,,,"*1. Feature Description*

*Priority #1:*?? *Live models*??

Objective:??

Deliver Influence Idea [229434|https://influence.sap.com/sap/ino/#/idea/229434]. i.e., change live models used in story. Address BI story development and deployment use cases described in section 3.

Scope:??
 # UQM/BOLT stack only
 # Models shall be of the same connection type (e.g., live BW to live BW) but can connect to a different server.
 # Connection type supported as part of priority #1: shall be BW, S/4HANA and HANA OP.??
 # Models can be different thanks to a mapping UI. Measures ids, dimensions ids and properties, dimension hierarchies and variables names can be different
 # A mapping UI shall enable to map source to target entities

 * 
 ** Entities where ID or name match are mapped by default.
 ** Only entities that are used in the story (dependency check) require mapping
 ** Incomplete mapping does NOT prevent user to change model (warning message only).
 ** Mapping can be re-used from story to another when same source and target model are used.

Note: charts based on live BW connectivity reference key figures UIDs, uniquely generated alphanumeric strings This means mapping measures technical names will not be sufficient, This is mentioned in SAP Note [2566938|https://userapps.support.sap.com/sap/support/knowledge/en/2566938]. The development team is aware of this challenge.??

??

*Priority 2 ?€? Acquired Models*??

Objective:??

Deliver consistency i.e., feature parity between live and acquired data models. Address planning story development and deployment use cases?? Enhance the existing functionality and make it available on the UQM stack.??

Scope{*}:{*}
 # Support (like today FPA00-26802) :classic account public (planning & analytic) , universal models, and datasets (embedded and public)., source and target models shall be of the same type.??
 # Feature parity with live models: models can be different thanks to the mapping UI.

??

*Priority #3 Support for DWC,* ??*ACN deep copy, Data Service content*??

Objective:??

Support DWC customers with current live DWC connectivity and future integration using DWC space as SAC data repository (FPA00-48453 DWC support shall also enable [ACN deep copy (FPA00-42619) ??for Data Services content and DWC migration from Analytical datasets to DWC Analytic Models (planned Q1 23)

Scope:??
 # Support model change

|_From_ DWC private/embedded model|_To_ DWC private/embedded model (current)|
|From DWC private/embedded models|_To_ DWC Analytic Models 
(Migration from DWC Analytics dataset to DWC Analytic Model)|
|_From_ DWC Analytic Model (DWC as repository)|_To_ DWC Analytic Model ??(DWC as repository)(future)|

2. Internal APIs to expose the change model service capabilities required for ACN deep copy

{*}Out of scope{*}:
 * Change from an acquired to a live model
 * Change from a classic account model to a universal model
 * Change to live model of different source type (E.g. live BW to live DWC, live HANA OP - live HANA Cloud, live S4H-OP to live S4H - Cloud)
 * Live model based on Universes/WebI Document
 * Legacy non BOLT/UQM stack
 * API to change models for individual widgets.

*2 What Problem are we solving?*

In the course of building or deploying stories (e.g., dev, qa, prod) models may change (see section 3 for use cases). To avoid having to re-create stories on the newly introduced models, customers and implementation partners require the ability to change the models used by a story.??

Today, recreating a story means recreating charts, tables, input controls, blending, linked analysis,.?? filter, sort, rank, calculations, drill, formatting, blending, hyperlinks, thresholds etc.?? This can represent man months.

*2.1 For whom do we solve that problem?*

The enhancements target IT BI content developers of our customers and of implementation partners.

Changing a model used by story is not a trivial change, it impacts the complete story and requires a knowledge of the underlying models and data source.

??

*2.2 Business Value* 
*Wide customer reach, occasional use during BI project. High TCO reduction.*

This feature will be used by all customers occasionally during their implementation projects. In Q2 2022 alone *1000* customers created live connections. This includes the top 20 SAC customers. *Changing acquired model was used by 440* customers in Q2 2022 (out of a total of 4400 that edited/saved ??a least one story) that?€?s *10%* of customers build or maintain content

For acquired models, usage tracking indicated that the current change model feature was used 600 times less often than Saving a Story.

??

*Impact ??: TCO Reduction.*

The feature will enable customers not to have to recreate stories when a change of model is required.??

Ballpark estimate: average of *50 stories* by customer x *2 days* to recreate a story + *1 day* of test & deploy in productive environment: Saving *150 man* *days* per customer and per year.

??

*3 Use Cases / When does this problem arises?*

There are four distinct use cases. Implementation Projects (3.1) is mentioned by all customers and partners interviewed*. Agile LCM (3.2) is mentioned by two third of interviewed partners & customers, Data source migration (3.3) and duplication of content (3.4) by less than a third.
 * {_}Partners: Mibcon, Braincourt, I{_}{_}nfomotion, Pwc, Interdobs, Itelligence, Delaware, Plexxus, Cosmos{_}

_** Customers: Swiss Re, Nestl??, Redbull_

*3.1. BI Implementation Project* *?€? ??mentioned by All ??customers & partners*

Customer ??project starts by developing stories on pre-existing live models and BW queries, Hana Calc View, S4 CDS Views. In the course of the project new BW queries & InfoProviders (respectively Hana Calc Views/S4 CDS Views) and SAC model are implemented.

Newly developed stories need to use the new models/queries ??while other stories will stay on the older model.

Scenarios:
 # Target model is a *_subset_* of initial model to optimize performance, having the initial model is based on BW pre-built content or on a customer master DW content
 # Target model is a *_superset_* of initial model, the project scope grew with new requirements
 # Target model is *identical* but based on different DW architecture e.g. fewer layers, different persistency/staging layers

*3.2 Agile Lifecycle Management* *?€??? mentioned by half of customers & partners*

Customer needs to test stories against different live models within the same SAC tenant ?€?agile LCM{*}?€?{*} (idea [202124|https://influence.sap.com/sap/ino/] 186 votes)

Scenarios:
 # Customer needs to manage complete lifecycle in a single tenant (no capacity to manage multiple tenants)
 # Customer has too many data source instances to have an SAC tenant for each
 # Customer needs to test against production source (data not available in test system)

*3.3 ??Data Source System Migration ?€? mentioned by ??20% ??of customers & partners*

For example customer is moving from SAP BW7.5 to SAP BW4/HANA or from SAP HANA 1.0 ??to HANA 2.0. Stories need ??to based on the new data source. The ?€?Change Data Source?€? feature in the modeler for Live model cannot be used in all scenarios

Scenarios:
 # In a remote conversion at least some technical names will be different.
 # In the case of live BW, charts in stories reference key figure Unique Identifiers (UID), these are unique to the BW query, therefore any ?€?Change Data Source?€? will break the charts. [https://userapps.support.sap.com/sap/support/knowledge/en/2566938]

??**??

*3.4 ??Duplicate content for regional backends* *?€??? mentioned by 20% ??of?? customers & partners*

Customer needs to have N identical stories based on N identical live models connecting to N BW instances in different regions

Scenarios:
 # Customer has a?? decentralized organization,?? BW deployed for each region. Need to develop one story and have duplicated for each BW.
 # Carve Out, original BW instance is split in two systems. Need to duplicate the story to point to each source

??

*Blocked Customers*
 - None at this time - Please include go-live and ACV.

|Customer Name|Go-Live Status|ACV|Number of User Impact|
|FedEx HK??|Under implementation|116.25K Euro|710 BI users|
|??Airbus Defense and Space|??Live|??476K EUR|??|

*Additional Customer Notes*
 - Siemens requires HANA Live

??

*Link to [Feature Doc|https://sap.sharepoint.com/:w:/r/teams/ProductStrategyAugmentedBI/Shared%20Documents/SAC%20ALL%20PM%20Team%20Share/PM%20-%20Vancouver/WIP%20-%20Feature%20Doc%20%20-%20Change%20Model%20used%20by%20a%20Story.docx?d=wc6af56c1b9db4cf9a093d23291c24f25&csf=1&web=1&e=0JunKR]*",10,1
DTC - Sort on totals,FPA34-2212,4731378,User Story,In Progress,FPA34,High,I050576,I038067,,4/2/2018 18:29,9/26/2022 20:50,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"Current behaviour: using a table, I can use the ""show totals"" function which will add a new column showing me the totals of my values. When I go to create value sorting, I don't have the option to base the sort on totals.

Expected behaviour: Be able to sort on a table either ascending or descending with the ""totals"" as my dimension.

I can achieve something similar using a stack bar chart sorting the measures by lowest to highest or highest to lowest but would expect to have a similar function on a table.

+Ariba Workflow - Totals sort on table+
 * A table create on HANA live
 * A measure is spread across status members by putting ""Status"" dimension on the Column axis
 * I have also opted for ?€?Show Totals?€? at the Status dimension
 * Now when I use sort option on totals it gives me an error, see attached screenshot
 * *Workaround*: Create multiple restricted measure for each status member and add??all of them along with actual measure to the column and then sort on Invoice Count. But this becomes tedious for end users if the number of members in status goes to 6-7. Specially would also be a problem in exploration workflows, pre-built would be fine",2,1
Connect to Ariba data,FPA34-876,3519459,User Story,Considered,FPA34,Medium,D035331,I050874,I050874,2/10/2017 13:40,9/26/2022 8:13,9/29/2022 9:53,,,,Data Integration,,,,,,,"Ariba has a portfolio of products (listed below).??Different Ariba customers have different needs, however many of them are looking for a generic connector where they can pull in??all their Ariba data in to SAP Analytics Cloud. Ideally, connector requirements needs to be detailed out understanding how Ariba has their data distributed for a given buyer or supplier.??

??Ariba Solutions??
 * SAP Ariba Network (Buyers and Suppliers)

 * Sourcing solutions
 ** SAP Ariba Sourcing
 ** SAP Ariba Spend Analysis??
 ** SAP Ariba Contracts
 ** SAP Ariba Discovery??

 * Procurement Solutions??
 ** SAP Ariba Guided Buying??
 ** SAP Ariba Guided Buying & Invoicing??
 ** SAP Ariba Catalog
 ** Procure to Pay
 ** Spot Buy

 * Ariba Supplier Lifecycle Management (SLP)
 * Ariba Supplier Information and Performance Management??

*[Updated on 07 Nov 2019]* - Ariba is coming up with a data platform APDP that will consolidate all data from Ariba soliutions, built on top of HANA and intends to expose data via calculation views. This is due to delivered for customers by early H2 2020. There should be a way to connect to APDP and report on top of that. Live would be the preferred connection mode as this is HANA.??Yakub ([tariq.yaqub@sap.com)|mailto:tariq.yaqub@sap.com]??from Ariba is the responsible Product Manager for that.??",2,1
"Usability - As a user, I can see the full story name in the Dashboard library",FPA34-1787,4433333,User Story,Open,FPA34,Medium,I866445,D065916,D065916,12/27/2017 16:41,9/23/2022 21:29,9/29/2022 9:53,,,,Digital Boardroom,,,,,,,"I in the role of a dashboard builder I would like to see the full story name in the Dashboard library, instead it being cut-off. Currently, I can only see it sometimes in mouse-over. 
Especially with long story names it gets almost impossible to distinguish the stories.
A possible solution would be a list-view?",1,1
"Misc. - Hide ""for Actual"" in chart title",FPA34-2953,5398359,User Story,Open,FPA34,Medium,I866445,I080151,I080151,10/23/2018 22:07,9/23/2022 21:29,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"I reviewed this issue with your Henry Kam and he recommended I should create a development request.

I created analytical models. There is no planning, no actual vs. plan, no version ... just the data that I copied into SAC.

When I create a chart it always says ""for Actual"" at the title. It feels like adding complexity to the UX without any actual value or insight to the business user.

Why can't this just be not shown for simple analytical models?

Henry suggested to manually edit all chart titles, but that is not the ultimate solution.

Or maybe we are missing something here, some deeper semantics...",1,1
DTC - Manually set the specific height/width of a table row/column,FPA34-2288,4808019,User Story,Backlog,FPA34,High,D053636,D053422,D053422,4/24/2018 8:50,9/23/2022 15:50,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"As a story creator, I would like to be able to set the height/width of a table row/column to a specific width by entering the value. Currently, it is only possible to adjust the width/height via drag-and-drop.

With this, it would also be great to configure the width/height of multiple columns/rows with one action/workflow

Initial UX:??[https://jam4.sapjam.com/groups/Chqb0ov8hSKNRl9Ojas7BH/documents/juAJt2ev6bxcoV2oLidWKP/slide_viewer]",1,1
Dynamic creation of user with type of licence,FPA34-2526,5029583,User Story,Considered,FPA34,Medium,D053666,I074890,I074890,7/4/2018 8:05,9/22/2022 15:33,9/29/2022 9:53,,,,,,,,,,,"Hello team,
We have customized the SAML authentication with dynamic user creation on the SAC tenant and it works (almost https://sapjira.wdf.sap.corp/browse/FPA36-5338) fine.
However, customer is asking if we could specify which type of licence should be applied to the created users (concurrent or not)? We can do it manually user by user but since they are going for more than 2000 users,  would you know if they is a possibility to make it dynamic ? 
Thanks for your help,
Alexandre",1,1
[Security - URT] Download the roles settings as csv for documentation purposes,FPA34-1978,4575939,User Story,Open,FPA34,Medium,I819951,D066536,D066536,2/13/2018 16:38,9/22/2022 15:31,9/29/2022 9:53,,,,System Administration ,,,,,,,"Hello Team,

my customer would like to have the possibility to download the permissions sheet of each role as pdf or csv, so that they can document the settings of each role for their internal use. Can we offer this?

Best regards
Amrit",2,1
Add Predictive Simulation techniques such as Monte Carlo Simulation in to the SAC - Planning Value Driver Tree,FPA34-2151,4690453,User Story,Open,FPA34,Medium,I051666,I026893,I026893,3/20/2018 13:34,9/20/2022 8:14,9/29/2022 9:53,,,,Smart Assist,,,,,,,"Addition of simulation capabilities, using rule based logic that enables executives to use sliders to figures with fixed limits that the controllers and business can interact with.

These will also include the use of statistical methods, i.e. Monte Carlo analysis to configure simulations on certain key figures to give both forecasts and probabilities.

Related reads

[https://en.wikipedia.org/wiki/Monte_Carlo_method#Finance_and_business]

[https://en.wikipedia.org/wiki/Monte_Carlo_methods_in_finance]

+*Mosaic (circa August 2020)*+
 # Mosaic is trying to get a feel for Cost and Revenue for the next 5 years due to the impact of COVID-19.?? They want something a little more than a guess or gut feel (as Patrick stated).
 # MCS is one approach but they are also open to using SAC?€?s Timeseries Forecasting as an additional reinforcer of the MCS (and this is out of the box for SAC)
 # Kevin says the existing demo of MCS might be good enough to show the customer.?? Having said that, having a UI built into SAC using the Web App Designer would put this over the top.?? What they are doing today is not very complex.
 # Mosaic is sending over their presentation of how they do this simulation today so we can get an idea of the inputs to the MCS but the EBIT and Cash demo should be enough to show the art of the possible.

+*BP (Q1 2021)*+

BP has developed a complex global economic model using Python apps, Excel and BPC.?? Excel and Python applications are responsible for data loading and data quality while BPC runs the economic model and many alternative development scenarios (oil price variation, different field development plans).?? Inputs include reservoir simulation production forecasts, manual revenue forecasts, OPEX and CAPEX costs, federal/local taxes, and oil/gas prices.?? Output includes a financial report, audit report, control report and grid report for finance executives and financial analysts..??

+*BHP*+

For ?€?what-if?€?, BHP has been using a competing software called [Qerent Modeler|https://www.qerent.com/solution/] which is a VDT tool specifically designed for natural resources companies.?? Doing more advanced what if modelling was also one f the use cases that David Morgan had in mind when considering predictive in Prime, looking to model the impact of changes in iron ore pricing and the impact on the plans. Qerent also support ?€?a la Monte Carlo?€? capabilities.

+*Call with Takeda (May 2021)*+

*use case summarized by the customer*

_*""*_

_*Problem Statement:*_

_GMS (Global Manufacturing & Supply) Finance needs to increase the quality and efficiency of the COGS (Cost of Goods Sold) variances planning process.?? The current process in excel is manual, labor intensive with high development, maintenance, and compliance efforts, and is decentralized among sites.?? The new SAP IBP system will produce volume data that needs to be incorporated into the models, and will push the current manual excel processes beyond capacity._

_*Project Objective:*_

_-Increase the efficiency of the above-site COGS variances (incl. cap & roll) planning process_

_-Reduce site workload for MRP/MYC Planning cycles by centralizing COGS variances planning_

_-Increase off-planning-cycle reaction time to planning assumption changes_

_-Unlock IBP potential for GMS Finance_

_*Bus Value Statement:*_

_Increase financial forecast quality for P/L lines that have high financial significance_

_Unlock value of IBP Supply Chain and production data for GMS Finance by connecting IBP data with finance data_

_Enable digital decision support, taking an important step in digital journey and modernization_

??_{*}{{*}}{*}{*}_??**??_*In Scope*_

_New simulation solutions will cover the following areas: Plasma Mix, Plasma Yield, General Mix & Yield, PPV (see attached presentation)_

_-Source pertinent data including IBP, and build models in SAP BW_

_-Build simulation solutions in SAP Analytics Cloud_

_-Build Cap & Roll amortization logic for simulated COGS variances in SAP Analytics Cloud_

_-Migrate the Absorption model to above standard architecture, migrating off the current EDB/Plotly solution_

_+ Additional item discussed ?€? potential for Monte Carlo simulation to generate range of possible outcomes based on inputs (volume, IG content, ?€?)._??

_This would incorporate the predictive element to the forecast.""_

+*SAUDI ARAMCO / E-ON*+

[Priti] One of my known colleagues in Pre-sales/COE team had done a POC on monte carlo simulation as requested from customer Saudi Aramco and E-on and as it was found a gap in SAP products.

The use-case details are here: [https://ucr.int.sap/ucr/glance/use-case/182]

In case you can not access the UCR link above: then presentations are here: [https://jam4.sapjam.com/groups/SS2CUl3od1s8i4sDOgFbZ7/content?folder_id=lZw3R9nTdvV3XQHaMvLaKK]

I briefly mentioned in the call, they were using [probabilistic distribution|https://help.sap.com/viewer/2cfbc5cf2bc14f028cfbe2a2bba60a50/2.0.03/en-US/a2f8380ff41e49e58b1d88961e1782c6.html] algorithms from PAL library in HANA ????.",1,1
[BW Live] Universal Display Hierarchy (UDH) in Charts,FPA34-2811,5281919,User Story,Considered,FPA34,Medium,D052181,,,9/17/2018 22:00,9/19/2022 8:11,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",BW Integration,S/4HANA Integration,,,,,"Current situation:
 * Table/Grid visualization supports BW's UDH concept. This was implemented for Table only in 2018, but not for Chart.

Customer impact:
 * Customer can't understand why the UDH concept can't be visualized in Charts today. They see the integration of UDH concept as incomplete.",1,1
[Live connectivity] Consume FYQP Date Hierarchies,FPA34-2969,5409769,User Story,Considered,FPA34,High,D052181,I051864,I051864,10/26/2018 11:44,9/19/2022 8:11,9/29/2022 9:53,,,,BW Integration,S/4HANA Integration,,,,,10/31/2018 0:00,"??

As a SAC story designer, I want to use a FYQP date hierarchy with a S/4 live connection model. this includes the ability to start the fiscal year in October for example, and should be support on all Live connectivities: HANA, BW and S/4HANA.

Once available, this capability should be documented in:

[SAP Analytics Cloud??Support Matrix for Live Connectivity to SAP NetWeaver BW and SAP BW/4HANA|https://help.sap.com/viewer/00f68c2e08b941f081002fd3691d86a7/release/en-US/ba7ee8dc6dcd4069b210ec712be52a31.html]

[2715030 - Considerations when using SAP BW and SAP S/4HANA Live Connections in SAC|https://launchpad.support.sap.com/#/notes/2715030]",1,1
Filters/Input Controls - Different options for quick filtering with Hierarchies ?€?,FPA34-2368,4879480,User Story,Backlog,FPA34,High,D053666,I052427,I052427,5/17/2018 11:05,9/15/2022 17:57,9/29/2022 9:53,,,,Analytics Designer,"BI (Charts, Explorer, Geo, Input controls, etc.)","Planning (Allocations, VDT, etc.)",,,,,"Background:

Highly asked for by planning users primarily. This scenario would extremely improve the overall productivity of planning users. This is primarily for Story Designer persona, since in most planning use- cases the reports are set up by the IT and are not meant to be modified.??Related to FPA34-5087

Problem Statement:

Today, as a story designer, I cannot quickly choose only leaf members for filtering; no way to choose only children of a node; no way to choose selected node and all its base members, but not sub-total levels.

Expectation:

I, as a story designer, want to have an ability to quickly choose among different hierarchy combinations for filtering

??

----------

original request:

Dear colleague,

See screenshot attached.

In the EPM add-in there are many usefull options in a dimension member selector. For example Children, Member and Base Level, etc.
 Request to see if the same can be added in SAC to make stories (tables) more flexible.

Thanks and Regards,
 Thijs",2,1
Integration of Smart Data Discovery in to Value Driver Tree,FPA34-2149,4690415,User Story,Open,FPA34,Medium,I051547,I026893,I026893,3/20/2018 13:28,9/15/2022 15:01,9/29/2022 9:53,,,,"Planning (Allocations, VDT, etc.)",Smart Assist,,,,,,"Use Smart Data Discovery to enable users to uncover hidden patterns, find key influencers and outliers in your data to aid in the creation of the Value Driver Tree


Business Value:
?€?Financials Controllers can compliment their experience with easy to use predictive insights when creating the Value Driver Tree

?€?Interact with simple predictive functions directly within the Value Driver Tree application without IT or Data Scientist intervention.

?€?Continually discover new insights in your data, improving your business process powered by mathematics and predictive",1,1
Enrich Planning Value Driver Tree with Predictive Scenarios,FPA34-2150,4690432,User Story,Parked,FPA34,Medium,I051695,I026893,I026893,3/20/2018 13:30,9/15/2022 14:57,9/29/2022 9:53,,,,"Planning (Allocations, VDT, etc.)",Smart Predict / Predictive Planning ,,,,,,"When creating or amending the SAC - Planning Value Driver Tree enable users to use Predictive Scenarios as input.

Business Value:

Integration of Predictive Scenarios using algorithms to create forecasts in areas such as Cash flow or Revenue and in some cases the ability to collaborate with Data Scientists with zero code.",1,1
CE: (Connectivity) Import Job and Scheduling,FPA34-600,3271628,Epic,Considered,FPA34,Medium,D035331,I050874,I050874,11/3/2016 18:54,9/14/2022 9:41,9/29/2022 9:53,,,,Data Integration,,,,,,,Capturing here all of the enhancement requests concerning scheduling,2,1
 I want to be able to manage and export/import Predictive Scenarios as others SAC artefacts,FPA34-2223,4744227,User Story,Backlog,FPA34,Very High,I051695,I051666,I051666,4/5/2018 13:05,9/7/2022 10:07,9/29/2022 9:53,,,,Smart Predict / Predictive Planning ,,,,,,,"As a user, I would like to be able to manage (filter, sort, search, delete, ...) Predictive Scenario as others SAC artefacts can be managed and at the same place (VFS integration).

Accenture Requirements (February 2018)
----------------------------------------------
It is quite common in Data Science use-cases that users work on their individual models and keep enhancing it. They would not like to share with other users unless they are comfortable or done .

Hence it is required to have a process for sharing models between users e.g. for QA or in a broader context having private models vs. public models in case of PA.
SAC has the similar concept for Stories - if this could be applied and extended to predictive models then that would be broadly acceptable.

BASF requirements (September 2019): 
------------------------------------------
BASF asked for a better ?€?separation of duties?€? (predictive scenarios, data repositories).

SAP (October 2019)
----------------------
Live Predict cannot be used productively due to the current security concept.

Requirements: 
_Short term ?€? restrict access to input and output datasets as well as Predictive Scenarios on session user_
We would require the same security setup as Predictive Factory where a new user requests access to a specific project created in our Predictive Factory instance to determine which Predictive Scenarios the user has access to:

However, we also need to ensure that only these users have access to the live input datasets used for the scenarios in each project as the input data is sensitive.

_Long term ?€? also restrict access to subsets of input dataset depending on session user_
Once calculation views are supported as input to live Predictive scenarios, then we would like to leverage our ?€?GCON?€? authorizations which mean that a filter is set in the input calculation view based on the session user?€?s authorizations in the BW backend. This allows us to hide/expose data at a more granular level ?€? on profit center node for example.

SAP content team 
--------------------
Same as the SAC stories - applications created by Application Design shall be part of the SAC Business Content Library and delivered as such. Hence, all entities and components used during the design of an application, shall be enabled for packaging and delivery via the SAC Content Library. This implies the capability of exporting and importing the application design entity. Hence, also Smart Predict entities such as Predictive Scenarios, Predictive Models and DataSets shall follow the same if used/referenced in the application design.

The capability to export/import and delivery is not only important for the SAC Business Content strategy, but also plays a significant role in the SAC OEM/Partner strategy.

This is a deployment blocker!

+Tek Analytics (February 2021)+

Hello Jason - Hope this email finds you well. We are in the final Deployment??Phase of Predictive Scenarios with one of the Automobile clients . I see in SAC we cannot Export/Import or Content Network Predictive Scenarios between tenants.??Is there any Official Document on it . The Life cycle management guide doesn't??show any restrictions

+SAP ID&A (December 2021)+??

[Damien]??Une autre chose qui serai un plus serait la possibilit?? de transporter facilement un mod??le pr??dictif de notre instance de test vers l?€?instance de prod.

??[Antoine] effectivement nous ne l?€?avons pas pour le moment. Est-ce que les donn??es sous-jacentes aux mod??les sont identiques en test et en prod??? (=pas de changement des mod??les induits par les donn??es).

[Damien]??L?€?id??al serait de faire le modeling sur notre environnement de test avec les donn??es de production (data source en lecture seule) et un transport du mod??le sur l?€?instance de production (qui utilisera donc les m??me donn??es).

+Fischerwerke (May 2022)+

Transport of predictive scenarios does not work. Predictive Scenarios cannot be transported
(Planning) Models can also be transported ""without data"", why predictive models not? --> Data Action",1,1
